,LAT,LON,Cuenta
478,3.53057,-76.29416,10
479,3.53057,-76.29415,9
18,3.49999,-76.31859,9
232,3.52473,-76.29501,8
429,3.52936,-76.30226,7
198,3.52387,-76.29507,7
813,3.5389,-76.31224,7
355,3.52781,-76.29786,6
132,3.52071,-76.29499,6
48,3.508,-76.30254,6
89,3.51708,-76.30349,6
971,3.5502,-76.29437,6
660,3.53594,-76.30863,5
238,3.52481,-76.29579,5
514,3.53131,-76.29327,5
601,3.53324,-76.31136,5
930,3.54665,-76.29571,5
500,3.53103,-76.303,5
883,3.54219,-76.29663,5
196,3.52386,-76.29506,5
195,3.52386,-76.29507,5
44,3.50632,-76.22691,5
102,3.51878,-76.30221,5
110,3.51905,-76.30382,5
302,3.52613,-76.29221,5
1000,3.55673,-76.28898,4
135,3.52072,-76.29097,4
451,3.52988,-76.29517,4
350,3.5276,-76.29619,4
433,3.52946,-76.29262,4
527,3.53153,-76.29495,4
951,3.54784,-76.31197,4
412,3.52911,-76.29601,4
405,3.52893,-76.29949,4
978,3.55195,-76.29375,4
786,3.53873,-76.30643,4
176,3.52307,-76.28772,4
726,3.53785,-76.2971,4
115,3.51972,-76.29586,4
91,3.51709,-76.30347,4
384,3.52845,-76.29691,4
381,3.52844,-76.2969,4
734,3.53799,-76.29704,4
113,3.5193,-76.2985,4
363,3.52801,-76.27741,4
358,3.52784,-76.29787,4
321,3.5266,-76.30261,4
469,3.53032,-76.29252,4
245,3.52496,-76.30287,4
150,3.52133,-76.27818,4
574,3.53263,-76.3028,4
888,3.54223,-76.29664,4
558,3.53219,-76.29315,4
1040,3.58557,-76.33807,4
614,3.5339,-76.30909,4
617,3.53392,-76.30657,4
529,3.53155,-76.29498,4
525,3.5315,-76.2732,4
230,3.52471,-76.30118,4
636,3.53466,-76.29674,4
522,3.53141,-76.29398,4
241,3.5249,-76.27815,4
650,3.53521,-76.30036,4
836,3.53936,-76.30983,3
842,3.53988,-76.30685,3
215,3.52434,-76.29856,3
839,3.53978,-76.30068,3
255,3.52515,-76.29834,3
875,3.54185,-76.30731,3
207,3.52416,-76.30128,3
254,3.52514,-76.31007,3
199,3.52387,-76.29506,3
327,3.52678,-76.28948,3
869,3.5415,-76.30071,3
889,3.54223,-76.2966,3
333,3.52696,-76.29122,3
895,3.54243,-76.30219,3
768,3.53843,-76.30087,3
899,3.54256,-76.30743,3
900,3.54257,-76.30739,3
242,3.52491,-76.3001,3
766,3.53843,-76.30178,3
901,3.54259,-76.3077,3
323,3.52664,-76.31637,3
783,3.53871,-76.30382,3
855,3.54066,-76.27913,3
218,3.52443,-76.2993,3
833,3.53923,-76.29083,3
831,3.53912,-76.3069,3
260,3.52528,-76.29317,3
829,3.53907,-76.30816,3
275,3.52558,-76.28129,3
276,3.52561,-76.29569,3
258,3.5252,-76.3035,3
229,3.52466,-76.28589,3
228,3.5246,-76.28835,3
289,3.52592,-76.30347,3
293,3.52601,-76.29132,3
296,3.52604,-76.29906,3
800,3.5388,-76.3047,3
222,3.52456,-76.30013,3
850,3.54041,-76.30704,3
257,3.52517,-76.29231,3
219,3.52443,-76.29203,3
797,3.53876,-76.2971,3
315,3.52651,-76.3018,3
757,3.53823,-76.30659,3
390,3.52852,-76.30181,3
351,3.5276,-76.2741,3
530,3.53158,-76.29517,3
480,3.53058,-76.29418,3
658,3.53585,-76.29416,3
657,3.53583,-76.27736,3
493,3.53085,-76.2965,3
649,3.53505,-76.28578,3
501,3.53103,-76.30299,3
639,3.53468,-76.29674,3
638,3.53467,-76.29674,3
637,3.53467,-76.29675,3
508,3.53111,-76.28549,3
515,3.53132,-76.29326,3
517,3.53133,-76.29327,3
519,3.5314,-76.29403,3
528,3.53154,-76.29495,3
622,3.53404,-76.30053,3
472,3.53044,-76.29335,3
535,3.53175,-76.29643,3
598,3.53319,-76.28705,3
556,3.53215,-76.31597,3
557,3.53217,-76.27731,3
559,3.5322,-76.29318,3
560,3.5323,-76.29386,3
561,3.53231,-76.29386,3
592,3.53305,-76.29966,3
564,3.53238,-76.30992,3
591,3.53304,-76.29965,3
589,3.53299,-76.29303,3
570,3.53254,-76.29629,3
572,3.53261,-76.29703,3
576,3.53265,-76.29708,3
475,3.53046,-76.29333,3
467,3.53031,-76.29254,3
752,3.53819,-76.29728,3
417,3.52922,-76.29049,3
357,3.52783,-76.29033,3
748,3.53816,-76.29732,3
367,3.52811,-76.29965,3
743,3.53809,-76.29703,3
739,3.53804,-76.29741,3
386,3.52846,-76.29698,3
394,3.5286,-76.30322,3
396,3.52867,-76.28935,3
400,3.52876,-76.30431,3
402,3.52877,-76.30447,3
403,3.52883,-76.30319,3
715,3.53755,-76.2945,3
415,3.52919,-76.30722,3
416,3.52922,-76.29687,3
423,3.52932,-76.29047,3
465,3.53017,-76.29744,3
699,3.53705,-76.29637,3
427,3.52935,-76.30817,3
428,3.52935,-76.30562,3
693,3.53701,-76.29061,3
692,3.537,-76.28411,3
691,3.53699,-76.31986,3
687,3.53695,-76.29558,3
446,3.52971,-76.29426,3
448,3.52981,-76.3116,3
452,3.52995,-76.29583,3
679,3.53675,-76.27794,3
673,3.53666,-76.29411,3
460,3.53008,-76.29667,3
462,3.53013,-76.28964,3
903,3.54259,-76.29101,3
290,3.52594,-76.30346,3
86,3.51694,-76.30255,3
929,3.54636,-76.29594,3
30,3.50365,-76.29755,3
989,3.55522,-76.28904,3
1029,3.57526,-76.2131,3
108,3.519,-76.29586,3
146,3.52102,-76.30272,3
931,3.54668,-76.29573,3
1030,3.57866,-76.29156,3
107,3.51899,-76.29585,3
139,3.52077,-76.29823,3
961,3.5487,-76.29488,3
1034,3.58012,-76.29378,3
925,3.54599,-76.29602,3
101,3.51872,-76.27579,3
74,3.51422,-76.29592,3
99,3.51854,-76.29929,3
75,3.51471,-76.2934,3
960,3.54847,-76.30978,3
65,3.51133,-76.30243,3
983,3.55325,-76.29304,3
62,3.51062,-76.30167,3
1001,3.55721,-76.30064,3
1009,3.55789,-76.29115,3
45,3.50646,-76.31317,3
127,3.52049,-76.30188,3
996,3.5562,-76.29166,3
116,3.51972,-76.27946,3
61,3.51059,-76.29587,3
39,3.50555,-76.2993,3
958,3.54815,-76.29093,3
1018,3.56432,-76.31021,3
37,3.5055,-76.29885,3
942,3.54769,-76.29369,3
35,3.5054,-76.29595,3
1021,3.56571,-76.3118,3
134,3.52072,-76.29499,3
1022,3.56591,-76.22891,3
158,3.5217,-76.30491,3
1031,3.57995,-76.32762,3
167,3.52256,-76.29342,3
916,3.5442,-76.3076,3
79,3.51596,-76.2934,3
977,3.55194,-76.29373,3
1047,3.61518,-76.39229,3
165,3.52255,-76.29344,3
7,3.45689,-76.46582,3
166,3.52256,-76.29344,3
168,3.52257,-76.29344,3
913,3.54369,-76.31242,3
84,3.51689,-76.2934,3
972,3.55047,-76.30508,3
1052,3.61838,-76.42282,3
171,3.52259,-76.27988,3
974,3.55121,-76.3043,3
975,3.55187,-76.29377,3
2,3.45522,-76.47066,3
174,3.52282,-76.28343,3
87,3.51695,-76.30256,3
11,3.46364,-76.34849,3
950,3.54783,-76.31195,3
17,3.49986,-76.31882,3
917,3.54449,-76.31108,3
712,3.53748,-76.29399,2
676,3.53673,-76.30879,2
677,3.53674,-76.29463,2
678,3.53675,-76.29462,2
705,3.53711,-76.29073,2
980,3.55226,-76.29355,2
704,3.53711,-76.2968,2
720,3.53761,-76.29451,2
674,3.53666,-76.29062,2
680,3.53679,-76.30831,2
681,3.53679,-76.30005,2
994,3.55613,-76.28941,2
682,3.53683,-76.31964,2
703,3.5371,-76.29086,2
675,3.53672,-76.29463,2
997,3.5563,-76.29375,2
993,3.55574,-76.29186,2
998,3.55663,-76.28854,2
706,3.53712,-76.28822,2
708,3.53725,-76.29239,2
672,3.53666,-76.29412,2
999,3.55663,-76.28853,2
671,3.53665,-76.29899,2
670,3.53661,-76.27779,2
721,3.53775,-76.2873,2
669,3.53651,-76.2776,2
1002,3.55727,-76.29614,2
668,3.53642,-76.28978,2
1003,3.55729,-76.29125,2
667,3.53642,-76.31999,2
719,3.53759,-76.30639,2
683,3.53685,-76.29739,2
713,3.5375,-76.29992,2
718,3.53759,-76.30647,2
666,3.53636,-76.28622,2
714,3.53751,-76.29424,2
987,3.55447,-76.20194,2
986,3.55434,-76.29984,2
698,3.53703,-76.28624,2
979,3.55223,-76.29357,2
985,3.554,-76.29682,2
697,3.53703,-76.29117,2
696,3.53702,-76.28573,2
988,3.55462,-76.28921,2
694,3.53702,-76.28932,2
711,3.5374,-76.27979,2
990,3.5554,-76.23919,2
991,3.55542,-76.29201,2
984,3.5536,-76.30914,2
690,3.53698,-76.28231,2
700,3.53707,-76.29063,2
689,3.53698,-76.28852,2
710,3.53728,-76.29239,2
688,3.53695,-76.28494,2
707,3.53713,-76.28974,2
686,3.53694,-76.29558,2
685,3.53693,-76.28444,2
976,3.55187,-76.29374,2
701,3.53708,-76.28727,2
709,3.53726,-76.29239,2
716,3.53755,-76.28573,2
684,3.53692,-76.29558,2
702,3.5371,-76.31974,2
982,3.55299,-76.29318,2
907,3.54272,-76.31667,2
1004,3.55735,-76.29124,2
623,3.53406,-76.29686,2
599,3.5332,-76.30066,2
1038,3.5848,-76.20976,2
602,3.53324,-76.31005,2
603,3.53324,-76.31004,2
604,3.53327,-76.30557,2
605,3.53333,-76.29616,2
606,3.53334,-76.29617,2
607,3.53341,-76.3101,2
609,3.53348,-76.29056,2
610,3.53362,-76.30361,2
612,3.53376,-76.30737,2
1037,3.58169,-76.20314,2
615,3.5339,-76.30657,2
616,3.53392,-76.3066,2
1035,3.58046,-76.29434,2
618,3.53393,-76.30657,2
619,3.53394,-76.28835,2
621,3.53399,-76.29055,2
1033,3.58009,-76.32765,2
597,3.53317,-76.31412,2
596,3.53315,-76.29466,2
595,3.53313,-76.30642,2
588,3.53297,-76.29303,2
582,3.53283,-76.29138,2
583,3.53288,-76.2984,2
584,3.53292,-76.28903,2
1053,3.61842,-76.42307,2
585,3.53293,-76.29887,2
586,3.53295,-76.28871,2
1051,3.61779,-76.41699,2
587,3.53297,-76.30279,2
1048,3.61521,-76.38983,2
594,3.53307,-76.2937,2
590,3.53299,-76.293,2
1046,3.61513,-76.38638,2
593,3.53305,-76.29965,2
1045,3.61496,-76.38627,2
1044,3.61472,-76.38767,2
1043,3.61461,-76.3867,2
1042,3.60151,-76.20057,2
1041,3.59826,-76.46321,2
1032,3.58003,-76.32759,2
624,3.53408,-76.30569,2
665,3.53634,-76.38794,2
625,3.53409,-76.28094,2
1017,3.56253,-76.45058,2
1016,3.56042,-76.45018,2
1014,3.5595,-76.29096,2
651,3.53521,-76.2949,2
652,3.53522,-76.30037,2
722,3.53776,-76.29542,2
654,3.53551,-76.29696,2
655,3.53558,-76.2906,2
656,3.53579,-76.30943,2
1013,3.55928,-76.3011,2
659,3.53585,-76.29415,2
1012,3.5585,-76.38557,2
661,3.53596,-76.29479,2
1008,3.55778,-76.29116,2
1007,3.55776,-76.29118,2
662,3.5362,-76.27746,2
663,3.53629,-76.28233,2
1005,3.55739,-76.29125,2
664,3.53633,-76.30115,2
648,3.53505,-76.2993,2
647,3.53501,-76.31416,2
646,3.53496,-76.29772,2
1025,3.57064,-76.22106,2
626,3.5341,-76.29057,2
1028,3.57287,-76.21604,2
627,3.53416,-76.31139,2
628,3.53416,-76.30145,2
1027,3.5717,-76.2666,2
629,3.53426,-76.29945,2
630,3.53431,-76.29446,2
1026,3.57135,-76.21841,2
631,3.5344,-76.30574,2
643,3.53483,-76.29194,2
632,3.53455,-76.29594,2
633,3.53456,-76.30268,2
634,3.53457,-76.3014,2
635,3.53465,-76.29057,2
1019,3.56461,-76.31021,2
640,3.53469,-76.29674,2
641,3.5347,-76.30674,2
642,3.5348,-76.29775,2
653,3.53542,-76.29848,2
733,3.53797,-76.29827,2
723,3.53783,-76.31146,2
845,3.53992,-76.28321,2
837,3.53937,-76.286,2
938,3.54724,-76.26224,2
937,3.54722,-76.30285,2
936,3.54711,-76.29676,2
935,3.54705,-76.29876,2
840,3.53981,-76.30091,2
934,3.54697,-76.29005,2
843,3.53989,-76.30139,2
844,3.53989,-76.30138,2
846,3.54005,-76.30238,2
858,3.54093,-76.29091,2
848,3.54021,-76.30464,2
849,3.54022,-76.29586,2
933,3.54682,-76.30139,2
932,3.54674,-76.38272,2
851,3.54041,-76.29695,2
852,3.54043,-76.29953,2
853,3.54047,-76.28053,2
928,3.54613,-76.26432,2
856,3.54086,-76.29091,2
939,3.54738,-76.29436,2
940,3.54743,-76.29768,2
835,3.53928,-76.29714,2
834,3.53924,-76.31482,2
814,3.53892,-76.3115,2
815,3.53895,-76.30628,2
816,3.53896,-76.31039,2
817,3.53896,-76.30654,2
818,3.53896,-76.3065,2
820,3.53898,-76.30742,2
821,3.53898,-76.30674,2
822,3.53898,-76.30649,2
944,3.54772,-76.28967,2
943,3.5477,-76.28962,2
823,3.53899,-76.30662,2
824,3.539,-76.30667,2
825,3.53901,-76.30984,2
826,3.53902,-76.30685,2
827,3.53902,-76.29784,2
828,3.53904,-76.29561,2
830,3.53911,-76.28755,2
941,3.54768,-76.29527,2
832,3.53919,-76.2908,2
857,3.54093,-76.29093,2
859,3.54096,-76.3108,2
724,3.53784,-76.29734,2
892,3.54228,-76.30009,2
881,3.54216,-76.29817,2
882,3.54218,-76.31313,2
915,3.54419,-76.30761,2
884,3.5422,-76.29663,2
885,3.5422,-76.29657,2
914,3.54375,-76.30277,2
886,3.5422,-76.29538,2
887,3.54222,-76.29686,2
890,3.54226,-76.31144,2
893,3.54228,-76.29829,2
927,3.54607,-76.26444,2
912,3.54368,-76.31345,2
896,3.54245,-76.29331,2
897,3.54249,-76.30287,2
898,3.54254,-76.30741,2
911,3.54365,-76.27109,2
908,3.54272,-76.31492,2
902,3.54259,-76.3074,2
904,3.54261,-76.29102,2
905,3.54267,-76.29163,2
880,3.54213,-76.29702,2
879,3.54212,-76.2971,2
878,3.54209,-76.29559,2
877,3.54204,-76.29561,2
860,3.54102,-76.29381,2
926,3.54605,-76.29602,2
923,3.54557,-76.31149,2
862,3.5411,-76.29517,2
863,3.54111,-76.31019,2
864,3.54118,-76.29604,2
865,3.54123,-76.29086,2
866,3.54124,-76.29672,2
922,3.54478,-76.38458,2
867,3.54136,-76.29833,2
868,3.54149,-76.3007,2
921,3.54471,-76.30821,2
920,3.54459,-76.26698,2
870,3.54154,-76.31567,2
919,3.54456,-76.26779,2
871,3.54163,-76.31165,2
872,3.54166,-76.29663,2
873,3.54171,-76.29661,2
876,3.54187,-76.29659,2
945,3.54774,-76.28965,2
812,3.53889,-76.3081,2
811,3.53889,-76.31393,2
754,3.5382,-76.29982,2
747,3.53815,-76.29875,2
965,3.5493,-76.31769,2
749,3.53817,-76.29731,2
750,3.53817,-76.2973,2
751,3.53819,-76.30008,2
964,3.54912,-76.3049,2
963,3.54904,-76.3101,2
962,3.54884,-76.29216,2
753,3.53819,-76.29713,2
755,3.5382,-76.29729,2
810,3.53888,-76.29708,2
756,3.5382,-76.29728,2
758,3.53824,-76.29955,2
759,3.5383,-76.3064,2
760,3.5383,-76.3008,2
761,3.53835,-76.30111,2
762,3.53836,-76.30014,2
763,3.53839,-76.30125,2
764,3.53839,-76.30088,2
765,3.5384,-76.30089,2
746,3.53812,-76.29703,2
745,3.53812,-76.29846,2
966,3.5493,-76.29063,2
744,3.53811,-76.2983,2
725,3.53784,-76.2972,2
727,3.53788,-76.30986,2
973,3.55073,-76.29418,2
728,3.53789,-76.2962,2
729,3.5379,-76.31912,2
730,3.53792,-76.29785,2
970,3.55013,-76.31147,2
731,3.53793,-76.2975,2
732,3.53797,-76.29832,2
906,3.5427,-76.30741,2
969,3.5497,-76.30943,2
